perfil_id,direccion,semanas_observadas,transacciones_observadas,promedio_semanal,pendiente_semanal,cambio_relativo_pct,estado_tendencia,nivel_incertidumbre
PERF_0001,salida,13,86,815538.46,1269.23,1.87,estabilidad_observada,media
PERF_0001,entrada,13,10,1352153.85,-38082.42,-33.8,disminucion_observada,media
PERF_0002,salida,14,86,767785.71,-25114.29,-42.52,disminucion_observada,media
PERF_0002,entrada,12,10,970916.67,-14206.29,-16.1,estabilidad_observada,media
PERF_0003,salida,13,58,1101307.69,-38203.3,-41.63,disminucion_observada,media
PERF_0003,entrada,13,41,1959846.15,105060.44,64.33,aumento_observado,media
PERF_0004,salida,14,76,2620000.0,72756.04,36.1,aumento_observado,media
PERF_0004,entrada,13,22,1822000.0,-4060.44,-2.67,estabilidad_observada,media
PERF_0005,salida,13,61,843230.77,25774.73,36.68,aumento_observado,media
PERF_0005,entrada,14,29,664000.0,-45314.29,-88.72,disminucion_observada,media
PERF_0006,salida,14,65,2029142.86,-53156.04,-34.06,disminucion_observada,media
PERF_0006,entrada,12,35,1198666.67,-40762.24,-37.41,disminucion_observada,media
PERF_0007,salida,13,58,2743538.46,85038.46,37.2,aumento_observado,media
PERF_0007,entrada,14,36,875428.57,-1643.96,-2.44,estabilidad_observada,media
PERF_0008,salida,14,73,912000.0,-33503.3,-47.76,disminucion_observada,media
PERF_0008,entrada,12,17,1800333.33,21762.24,13.3,estabilidad_observada,media
PERF_0009,salida,14,88,844714.29,-26553.85,-40.87,disminucion_observada,media
PERF_0009,entrada,11,9,1154090.91,-1445.45,-1.25,estabilidad_observada,media
PERF_0010,salida,14,73,844928.57,-49549.45,-76.24,disminucion_observada,media
PERF_0010,entrada,13,22,1064769.23,68390.11,77.08,aumento_observado,media
PERF_0011,entrada,13,25,2162538.46,-88631.87,-49.18,disminucion_observada,media
PERF_0011,salida,14,65,3224857.14,113336.26,45.69,aumento_observado,media
PERF_0012,salida,14,80,993642.86,1751.65,2.29,estabilidad_observada,media
PERF_0012,entrada,12,13,993500.0,-1986.01,-2.2,estabilidad_observada,media
PERF_0013,entrada,13,37,815230.77,6604.4,9.72,estabilidad_observada,media
PERF_0013,salida,14,63,1739285.71,-15529.67,-11.61,estabilidad_observada,media
PERF_0014,salida,14,80,2393428.57,-65775.82,-35.73,disminucion_observada,media
PERF_0014,entrada,12,15,952916.67,-58786.71,-67.86,disminucion_observada,media
PERF_0015,salida,14,79,653142.86,-26628.57,-53.0,disminucion_observada,media
PERF_0015,entrada,13,17,1189230.77,-43532.97,-43.93,disminucion_observada,media
PERF_0016,salida,14,81,998571.43,-38479.12,-50.09,disminucion_observada,media
PERF_0016,entrada,11,15,1475454.55,58545.45,39.68,aumento_observado,media
PERF_0017,salida,14,69,817571.43,-7705.49,-12.25,estabilidad_observada,media
PERF_0017,entrada,13,22,1055538.46,-83208.79,-94.6,disminucion_observada,media
PERF_0018,salida,14,80,2514714.29,62808.79,32.47,aumento_observado,media
PERF_0018,entrada,12,13,1850333.33,36265.73,21.56,estabilidad_observada,media
PERF_0019,salida,14,91,450071.43,7540.66,21.78,estabilidad_observada,media
PERF_0019,entrada,12,9,441666.67,18727.27,46.64,aumento_observado,media
PERF_0020,salida,14,76,1173857.14,-22140.66,-24.52,estabilidad_observada,media
PERF_0020,entrada,12,21,638083.33,14730.77,25.39,aumento_observado,media
PERF_0021,salida,14,54,5344428.57,-198202.2,-48.21,disminucion_observada,media
PERF_0021,entrada,13,37,1911384.62,104763.74,65.77,aumento_observado,media
PERF_0022,salida,14,79,892500.0,-21751.65,-31.68,disminucion_observada,media
PERF_0022,entrada,13,16,1636307.69,17978.02,13.18,estabilidad_observada,media
PERF_0023,salida,14,76,1177500.0,-17074.73,-18.85,estabilidad_observada,media
PERF_0023,entrada,13,18,1315692.31,89840.66,81.94,aumento_observado,media
PERF_0024,salida,14,78,1020500.0,-8569.23,-10.92,estabilidad_observada,media
PERF_0024,entrada,12,16,907916.67,-35814.69,-43.39,disminucion_observada,media
PERF_0025,salida,13,65,1848153.85,109791.21,71.29,aumento_observado,media
PERF_0025,entrada,13,28,1087384.62,-57483.52,-63.44,disminucion_observada,media
PERF_0026,salida,14,78,1316857.14,15692.31,15.49,estabilidad_observada,media
PERF_0026,entrada,13,18,1267846.15,-10076.92,-9.54,estabilidad_observada,media
PERF_0027,salida,13,70,2848153.85,50472.53,21.27,estabilidad_observada,media
PERF_0027,entrada,14,22,1107571.43,13740.66,16.13,estabilidad_observada,media
PERF_0028,salida,13,71,2997384.62,-3554.95,-1.42,estabilidad_observada,media
PERF_0028,entrada,12,26,1134833.33,60307.69,58.46,aumento_observado,media
PERF_0029,salida,13,73,1194461.54,104.4,0.1,estabilidad_observada,media
PERF_0029,entrada,13,18,2037000.0,-50824.18,-29.94,disminucion_observada,media
PERF_0030,salida,14,70,513857.14,-11389.01,-28.81,disminucion_observada,media
PERF_0030,entrada,13,29,610461.54,19258.24,37.86,aumento_observado,media
PERF_0031,salida,14,90,1566500.0,-13918.68,-11.55,estabilidad_observada,media
PERF_0031,entrada,9,9,1832000.0,-305166.67,-133.26,disminucion_observada,media
PERF_0032,salida,13,81,1112461.54,116285.71,125.44,aumento_observado,media
PERF_0032,entrada,14,9,631142.86,-26457.14,-54.5,disminucion_observada,media
PERF_0033,salida,14,80,675214.29,4863.74,9.36,estabilidad_observada,media
PERF_0033,entrada,11,18,779000.0,32781.82,42.08,aumento_observado,media
PERF_0034,salida,13,61,2173692.31,34494.51,19.04,estabilidad_observada,media
PERF_0034,entrada,13,29,977076.92,-40956.04,-50.3,disminucion_observada,media
PERF_0035,entrada,14,26,283785.71,-16345.05,-74.88,disminucion_observada,media
PERF_0035,salida,14,70,816000.0,-9846.15,-15.69,estabilidad_observada,media
PERF_0036,salida,14,86,934714.29,-33107.69,-46.05,disminucion_observada,media
PERF_0036,entrada,12,11,2050583.33,42856.64,22.99,estabilidad_observada,media
PERF_0037,salida,14,63,1664357.14,-83263.74,-65.04,disminucion_observada,media
PERF_0037,entrada,13,30,2053769.23,85989.01,50.24,aumento_observado,media
PERF_0038,salida,14,94,1724642.86,-30929.67,-23.31,estabilidad_observada,media
PERF_0038,entrada,12,6,1537833.33,12013.99,8.59,estabilidad_observada,media
PERF_0039,salida,14,91,1665142.86,69639.56,54.37,aumento_observado,media
PERF_0039,entrada,12,8,1179250.0,-42877.62,-40.0,disminucion_observada,media
PERF_0040,salida,14,71,658428.57,7468.13,14.75,estabilidad_observada,media
PERF_0040,entrada,14,25,577642.86,-31092.31,-69.97,disminucion_observada,media
PERF_0041,salida,14,88,2601785.71,-59400.0,-29.68,disminucion_observada,media
PERF_0041,entrada,9,12,1908444.44,-31350.0,-13.14,estabilidad_observada,media
PERF_0042,salida,13,69,3934615.38,67582.42,20.61,estabilidad_observada,media
PERF_0042,entrada,12,29,1499583.33,-9765.73,-7.16,estabilidad_observada,media
PERF_0043,salida,13,72,747230.77,-6736.26,-10.82,estabilidad_observada,media
PERF_0043,entrada,13,28,1200923.08,-29598.9,-29.58,disminucion_observada,media
PERF_0044,salida,13,64,1689230.77,6565.93,4.66,estabilidad_observada,media
PERF_0044,entrada,13,29,1831230.77,24939.56,16.34,estabilidad_observada,media
PERF_0045,salida,14,70,577285.71,-7762.64,-17.48,estabilidad_observada,media
PERF_0045,entrada,13,24,706307.69,-2340.66,-3.98,estabilidad_observada,media
PERF_0046,salida,14,86,1131642.86,27821.98,31.96,aumento_observado,media
PERF_0046,entrada,11,14,885636.36,-54190.91,-61.19,disminucion_observada,media
PERF_0047,salida,13,79,1485153.85,36269.23,29.31,aumento_observado,media
PERF_0047,entrada,12,19,1476416.67,-1444.06,-1.08,estabilidad_observada,media
PERF_0048,entrada,14,22,958500.0,54450.55,73.85,aumento_observado,media
PERF_0048,salida,14,73,2004071.43,-53395.6,-34.64,disminucion_observada,media
PERF_0049,salida,14,87,2583857.14,-30624.18,-15.41,estabilidad_observada,media
PERF_0049,entrada,12,10,926750.0,255.24,0.3,estabilidad_observada,media
PERF_0050,salida,14,72,802928.57,-32472.53,-52.58,disminucion_observada,media
PERF_0050,entrada,14,18,1343071.43,7830.77,7.58,estabilidad_observada,media
PERF_0051,salida,14,78,2176071.43,-82090.11,-49.04,disminucion_observada,media
PERF_0051,entrada,13,13,2580230.77,-29829.67,-13.87,estabilidad_observada,media
PERF_0052,entrada,13,12,1441384.62,-95395.6,-79.42,disminucion_observada,media
PERF_0052,salida,14,88,1678714.29,-12426.37,-9.62,estabilidad_observada,media
PERF_0053,salida,14,76,1508714.29,41349.45,35.63,aumento_observado,media
PERF_0053,entrada,14,21,888357.14,-48432.97,-70.88,disminucion_observada,media
PERF_0054,salida,13,65,1843615.38,69230.77,45.06,aumento_observado,media
PERF_0054,entrada,13,31,1622000.0,-78576.92,-58.13,disminucion_observada,media
PERF_0055,salida,14,74,1402857.14,-19762.64,-18.31,estabilidad_observada,media
PERF_0055,entrada,13,25,703692.31,-45978.02,-78.41,disminucion_observada,media
PERF_0056,salida,13,70,2172307.69,-653.85,-0.36,estabilidad_observada,media
PERF_0056,entrada,14,24,770214.29,-5259.34,-8.88,estabilidad_observada,media
PERF_0057,salida,13,68,1411846.15,-12005.49,-10.2,estabilidad_observada,media
PERF_0057,entrada,14,24,2256285.71,34848.35,20.08,estabilidad_observada,media
PERF_0058,salida,13,87,873692.31,-19846.15,-27.26,disminucion_observada,media
PERF_0058,entrada,11,5,1153818.18,104709.09,90.75,aumento_observado,media
PERF_0059,salida,13,90,574076.92,-22912.09,-47.89,disminucion_observada,media
PERF_0059,entrada,10,8,862400.0,186000.0,194.11,aumento_observado,media
PERF_0060,salida,14,72,1308285.71,27243.96,27.07,aumento_observado,media
PERF_0060,entrada,13,26,853000.0,-5692.31,-8.01,estabilidad_observada,media
PERF_0061,salida,14,80,2485285.71,-26.37,-0.01,estabilidad_observada,media
PERF_0061,entrada,10,10,3093000.0,-400303.03,-116.48,disminucion_observada,media
PERF_0062,salida,13,84,1664923.08,46340.66,33.4,aumento_observado,media
PERF_0062,entrada,13,13,767153.85,7071.43,11.06,estabilidad_observada,media
PERF_0063,salida,12,67,3141333.33,115839.16,40.56,aumento_observado,media
PERF_0063,entrada,13,23,876461.54,-83884.62,-114.85,disminucion_observada,media
PERF_0064,salida,14,89,759000.0,-31195.6,-53.43,disminucion_observada,media
PERF_0064,entrada,9,11,1925222.22,-39066.67,-16.23,estabilidad_observada,media
PERF_0065,salida,14,58,1086000.0,-46725.27,-55.93,disminucion_observada,media
PERF_0065,entrada,13,33,1221307.69,41252.75,40.53,aumento_observado,media
PERF_0066,entrada,14,36,1556500.0,-116556.04,-97.35,disminucion_observada,media
PERF_0066,salida,14,61,1361142.86,20641.76,19.71,estabilidad_observada,media
PERF_0067,salida,14,69,2174857.14,85384.62,51.04,aumento_observado,media
PERF_0067,entrada,14,23,1350500.0,-60600.0,-58.33,disminucion_observada,media
PERF_0068,salida,14,80,1446142.86,7898.9,7.1,estabilidad_observada,media
PERF_0068,entrada,13,15,1373076.92,120829.67,105.6,aumento_observado,media
PERF_0069,salida,14,91,2011285.71,-22778.02,-14.72,estabilidad_observada,media
PERF_0069,entrada,12,8,1000833.33,-45027.97,-49.49,disminucion_observada,media
PERF_0070,salida,13,63,2890000.0,32318.68,13.42,estabilidad_observada,media
PERF_0070,entrada,12,34,985250.0,-56716.78,-63.32,disminucion_observada,media
PERF_0071,salida,14,81,1522714.29,-80997.8,-69.15,disminucion_observada,media
PERF_0071,entrada,13,13,2718538.46,-96406.59,-42.56,disminucion_observada,media
PERF_0072,salida,13,62,1279384.62,-15604.4,-14.64,estabilidad_observada,media
PERF_0072,entrada,13,38,1403461.54,-99510.99,-85.08,disminucion_observada,media
PERF_0073,salida,14,71,1234785.71,-20789.01,-21.89,estabilidad_observada,media
PERF_0073,entrada,12,26,1064500.0,-25034.97,-25.87,disminucion_observada,media
PERF_0074,salida,14,82,1403500.0,36226.37,33.55,aumento_observado,media
PERF_0074,entrada,13,12,892692.31,-51252.75,-68.9,disminucion_observada,media
PERF_0075,salida,14,68,541071.43,-6248.35,-15.01,estabilidad_observada,media
