transaccion_id,perfil_id,categoria_principal,direccion,fecha,descripcion_normalizada,valor,antecedentes_disponibles,valor_referencia_mediano,puntaje_robusto,estado_evento,interpretacion
TX_0183_0033,PERF_0183,Transferencias y apoyo,salida,2026-04-30,transferencia a tercero,42000,5,90000.0,8.09,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0183_0047,PERF_0183,Transferencias y apoyo,salida,2026-05-13,prestamo informal a tercero,139000,7,88000.0,8.6,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0154_0032,PERF_0154,Ventas y actividad comercial,entrada,2026-04-30,pago servicios barberia,170000,5,286000.0,9.78,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0018,PERF_0101,Trabajo independiente,entrada,2026-04-20,pago desarrollo app,3016000,6,276500.0,24.0,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0032,PERF_0101,Trabajo independiente,entrada,2026-04-30,honorarios sprint software,3280000,9,230000.0,33.18,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0036,PERF_0101,Trabajo independiente,entrada,2026-05-01,honorarios sprint software,2423000,11,324000.0,14.9,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0045,PERF_0101,Trabajo independiente,entrada,2026-05-10,honorarios sprint software,2057000,12,337000.0,10.22,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0079,PERF_0101,Trabajo independiente,entrada,2026-06-08,transferencia proyecto web,4131000,22,332500.0,24.87,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0101_0089,PERF_0101,Trabajo independiente,entrada,2026-06-20,pago desarrollo app,4433000,26,338500.0,28.18,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0108_0035,PERF_0108,Alimentación,salida,2026-05-03,supermercado,319000,6,114000.0,3.69,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0190_0083,PERF_0190,Educación,salida,2026-06-17,pago institucion,220000,5,83000.0,15.4,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0033_0080,PERF_0033,Salud,salida,2026-06-11,medicamentos,177000,7,113000.0,10.79,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0159_0070,PERF_0159,Vivienda,salida,2026-06-05,pago arriendo,872000,5,162000.0,4.74,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0012_0056,PERF_0012,Ocio,salida,2026-05-23,entrada evento,45000,7,93000.0,3.6,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0092_0069,PERF_0092,Vivienda,salida,2026-06-05,cuota hipoteca,490000,6,92500.0,9.75,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0031_0076,PERF_0031,Ocio,salida,2026-06-11,netflix,213000,8,93000.0,4.5,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0157_0044,PERF_0157,Trabajo independiente,entrada,2026-05-11,pago edicion video,1252000,15,419000.0,4.01,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0096_0083,PERF_0096,Alimentación,salida,2026-06-13,restaurante,129000,6,67500.0,6.38,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0096_0087,PERF_0096,Alimentación,salida,2026-06-18,supermercado,190000,7,70000.0,8.99,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0030_0026,PERF_0030,Ventas y actividad comercial,entrada,2026-04-22,abono corte y barba,181000,6,355500.0,4.2,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0030_0096,PERF_0030,Alimentación,salida,2026-06-27,cafeteria,42000,5,84000.0,3.54,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0158_0035,PERF_0158,Alimentación,salida,2026-05-04,supermercado,511000,8,102500.0,12.82,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0158_0044,PERF_0158,Alimentación,salida,2026-05-15,cafe,300000,9,110000.0,4.75,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0158_0094,PERF_0158,Alimentación,salida,2026-06-27,supermercado,349000,11,122000.0,3.93,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0142_0066,PERF_0142,Vestimenta,salida,2026-05-29,sastreria,170000,6,73000.0,10.07,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0142_0070,PERF_0142,Vestimenta,salida,2026-06-04,sastreria,182000,7,73000.0,9.19,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0128_0080,PERF_0128,Vivienda,salida,2026-06-12,arreglo vivienda,102000,5,1261000.0,15.95,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0021_0017,PERF_0021,Trabajo independiente,entrada,2026-04-14,honorarios postproduccion,318000,5,197000.0,20.4,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0021_0020,PERF_0021,Trabajo independiente,entrada,2026-04-15,transferencia proyecto web,1466000,6,198500.0,25.91,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0021_0024,PERF_0021,Trabajo independiente,entrada,2026-04-24,transferencia proyecto web,1367000,8,259000.0,11.59,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0021_0030,PERF_0021,Trabajo independiente,entrada,2026-04-30,transferencia proyecto web,1316000,11,318000.0,5.56,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0021_0083,PERF_0021,Trabajo independiente,entrada,2026-06-25,honorarios sprint software,1420000,27,321000.0,4.05,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0025,PERF_0018,Inversión productiva,salida,2026-04-23,inscripcion competencia,396000,5,196000.0,13.49,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0035,PERF_0018,Inversión productiva,salida,2026-05-04,material didactico,823000,6,241000.0,7.48,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0068,PERF_0018,Inversión productiva,salida,2026-06-04,libros para clase,1193000,8,333000.0,4.16,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0058,PERF_0018,Transporte,salida,2026-05-24,recarga transporte,447000,5,168000.0,6.27,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0067,PERF_0018,Transporte,salida,2026-06-04,recarga transporte,651000,6,183000.0,6.25,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0018_0074,PERF_0018,Transporte,salida,2026-06-10,transmilenio,657000,7,198000.0,4.3,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0197_0067,PERF_0197,Inversión productiva,salida,2026-06-02,insumos consultorio,348000,5,434000.0,9.67,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0136_0053,PERF_0136,Ventas y actividad comercial,entrada,2026-05-24,pago pedidos tienda,1863000,7,863000.0,29.33,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0136_0059,PERF_0136,Ventas y actividad comercial,entrada,2026-05-27,pago pedidos tienda,1841000,8,866000.0,21.92,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0136_0077,PERF_0136,Ventas y actividad comercial,entrada,2026-06-10,pago pedidos tienda,1310000,9,869000.0,6.92,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0136_0093,PERF_0136,Ventas y actividad comercial,entrada,2026-06-25,pago pedidos tienda,1215000,12,866000.0,4.85,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0136_0095,PERF_0136,Ventas y actividad comercial,entrada,2026-06-26,ventas del dia,1343000,13,869000.0,5.92,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0133_0048,PERF_0133,Ventas y actividad comercial,entrada,2026-05-11,pago servicios barberia,166000,6,97000.0,3.72,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0133_0055,PERF_0133,Ventas y actividad comercial,entrada,2026-05-22,pago servicios barberia,210000,7,104000.0,4.47,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0148_0056,PERF_0148,Alimentación,salida,2026-05-25,supermercado,115000,8,42500.0,6.99,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0148_0076,PERF_0148,Alimentación,salida,2026-06-16,supermercado,134000,9,45000.0,5.46,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0113_0067,PERF_0113,Vivienda,salida,2026-06-05,pago arriendo,941000,5,181000.0,4.42,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0025_0070,PERF_0025,Ocio,salida,2026-06-05,taller de pintura,317000,8,95000.0,5.35,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0025_0072,PERF_0025,Ocio,salida,2026-06-08,taller de pintura,370000,10,108000.0,4.21,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0025_0092,PERF_0025,Ocio,salida,2026-06-24,tienda arte y pintura,384000,12,120000.0,3.6,evento_inusual_observado,monto_alejado_del_historial_previo
TX_0187_0038,PERF_0187,Trabajo independiente,entrada,2026-05-05,honorarios postproduccion,325000,5,773000.0,4.72,evento_inusual_observado,monto_alejado_del_historial_previo
