perfil_id,descripcion_visible,actividad_1_familia,alcance_perfil,particion_perfil,es_sintetico,ventana_id,periodo_desde,periodo_hasta,estado_modelo,estado_calculo_modelo,confianza_pct,particion_estado,ventana_recomendacion,periodo_desde_recomendacion,periodo_hasta_recomendacion,estado_trayectoria,estado_motor,recomendacion_id,decision,fuente_seleccion,revision_humana,guardas_aplicadas,transacciones_disponibles,regularidades_observadas,eventos_inusuales_observados,estado_coherente,ventana_coherente,periodo_coherente,particion_coherente,recorrido_completo
PERF_0001,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura y turismo y viajes. Quiero crear fondo emergencia. Tengo como responsabilidad gastos de un hijo.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,train,si,VEN_0001_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,98.36,train,VEN_0001_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,96,3,6,True,True,True,True,True
PERF_0002,Trabajo como nutricionista dietista. Quiero ampliar actividad economica. Tengo como responsabilidad aporte hogar compartido.,nutricion_y_dietetica,dentro_del_mvp,train,si,VEN_0002_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,93.71,train,VEN_0002_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,96,1,0,True,True,True,True,True
PERF_0003,Trabajo como disc jockey. También genero ingresos con editor de video. En mi tiempo libre disfruto manualidades y artesanias y impresion 3d.,musica_y_entretenimiento_dj,dentro_del_mvp,train,si,VEN_0003_3,2026-04-01,2026-06-30,variable_resiliente,calculado,85.85,train,VEN_0003_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,99,1,3,True,True,True,True,True
PERF_0004,Trabajo como ciclista. También genero ingresos con nutricionista dietista. En mi tiempo libre disfruto musica y fotografia y video. Tengo como responsabilidad gastos de un hijo.,deporte_competitivo_ciclismo,dentro_del_mvp,train,si,VEN_0004_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,96.21,train,VEN_0004_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_VIGILAR_RESERVA,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,98,1,8,True,True,True,True,True
PERF_0005,Trabajo como repartidor de domicilios. También genero ingresos con vendedor de tienda. En mi tiempo libre disfruto fotografia y video y ciclismo. Tengo como responsabilidad apoyo parcial a dos familiares.,domicilios_mensajeria_y_reparto,dentro_del_mvp,train,si,VEN_0005_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,69.68,train,VEN_0005_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_REVISAR_CAMBIO_RECIENTE,solicitar_contexto,modelo_restringido,requerida,cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,90,2,5,True,True,True,True,True
PERF_0006,Trabajo como vendedor de tienda. También genero ingresos con repartidor de domicilios. En mi tiempo libre disfruto videojuegos y streaming y musica.,ventas_al_por_menor,dentro_del_mvp,train,si,VEN_0006_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,99.41,train,VEN_0006_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,100,2,6,True,True,True,True,True
PERF_0007,Trabajo como editor de video. También genero ingresos con nutricionista dietista. En mi tiempo libre disfruto turismo y viajes y impresion 3d.,diseno_audiovisual_y_edicion_de_video,dentro_del_mvp,train,si,VEN_0007_3,2026-04-01,2026-06-30,situacion_critica,calculado,100.0,train,VEN_0007_3,2026-04-01,2026-06-30,situacion_critica,recomendacion_disponible,REC_PLAN_CONTENCION,aplicar,modelo_restringido,requerida,situacion_critica_con_revision_humana | hobbies_no_eliminados_automaticamente,94,3,2,True,True,True,True,True
PERF_0008,Trabajo como docente de educación básica secundaria. Quiero hacer viaje. Tengo como responsabilidad apoyo parcial a dos familiares.,docencia_y_formacion,dentro_del_mvp,train,si,VEN_0008_3,2026-04-01,2026-06-30,acumulacion_estable,calculado,93.67,train,VEN_0008_3,2026-04-01,2026-06-30,acumulacion_estable,recomendacion_disponible,REC_MANTENER_ACUMULACION,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,90,1,2,True,True,True,True,True
PERF_0009,Trabajo como horticultor. En mi tiempo libre disfruto jardineria y agricultura urbana. Quiero hacer viaje. Tengo como responsabilidad aporte hogar compartido.,agricultura,dentro_del_mvp,train,si,VEN_0009_3,2026-04-01,2026-06-30,equilibrio_sostenible,calculado,97.91,train,VEN_0009_3,2026-04-01,2026-06-30,equilibrio_sostenible,recomendacion_disponible,REC_CREAR_MARGEN,sugerir,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,97,2,6,True,True,True,True,True
PERF_0010,Trabajo como barbero. En mi tiempo libre disfruto ciclismo. Quiero mejorar vivienda.,peluqueria_y_barberia,dentro_del_mvp,train,si,VEN_0010_3,2026-04-01,2026-06-30,variable_resiliente,calculado,83.86,train,VEN_0010_3,2026-04-01,2026-06-30,variable_resiliente,recomendacion_disponible,REC_RESERVA_PICOS,aplicar,modelo_restringido,no_requerida,hobbies_no_eliminados_automaticamente,95,2,3,True,True,True,True,True
PERF_0011,Trabajo como ingeniero de software. En mi tiempo libre disfruto pintura y jardineria y agricultura urbana. Tengo como responsabilidad apoyo mensual madre o padre.,ingenieria_y_desarrollo_de_software,dentro_del_mvp,train,si,VEN_0011_3,2026-04-01,2026-06-30,uso_planificado_reserva,calculado,99.09,train,VEN_0011_3,2026-04-01,2026-06-30,uso_planificado_reserva,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,guarda_etica,no_requerida,cobertura_esencial_menor_a_un_mes | hobbies_no_eliminados_automaticamente,90,2,6,True,True,True,True,True
PERF_0012,Trabajo como nutricionista dietista. En mi tiempo libre disfruto cocina y reposteria y fotografia y video. Tengo como responsabilidad ninguna declarada.,nutricion_y_dietetica,dentro_del_mvp,validation,si,VEN_0012_3,2026-04-01,2026-06-30,deterioro_reciente,calculado,76.03,validation,VEN_0012_3,2026-04-01,2026-06-30,deterioro_reciente,recomendacion_disponible,REC_REVISAR_CAMBIO_RECIENTE,solicitar_contexto,modelo_restringido,requerida,cambio_reciente_requiere_revision | hobbies_no_eliminados_automaticamente,93,2,4,True,True,True,True,True
PERF_0013,Trabajo como disc jockey. También genero ingresos con nutricionista dietista. Tengo como responsabilidad medicamentos de un familiar.,musica_y_entretenimiento_dj,dentro_del_mvp,train,si,VEN_0013_3,2026-04-01,2026-06-30,fragilidad_sostenida,calculado,99.3,train,VEN_0013_3,2026-04-01,2026-06-30,fragilidad_sostenida,recomendacion_disponible,REC_PRIORIZAR_COBERTURA,aplicar,modelo_restringido,no_requerida,proteccion_esencial_por_fragilidad | hobbies_no_eliminados_automaticamente,100,1,0,True,True,True,True,True
