ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,particion,prob_acumulacion_estable_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,prob_deterioro_reciente_pct,prob_fragilidad_sostenida_pct,prob_situacion_critica_pct,prob_uso_planificado_reserva_pct
VEN_0001_1,PERF_0001,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,91.81,baja,train,91.81,7.45,0.65,0.09,0.0,0.0,0.0
VEN_0001_2,PERF_0001,2026-05-31,2026-04-01,2026-05-31,acumulacion_estable,acumulacion_estable,calculado,95.31,baja,train,95.31,4.32,0.37,0.0,0.0,0.0,0.0
VEN_0001_3,PERF_0001,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.36,baja,train,98.36,1.07,0.56,0.0,0.0,0.0,0.0
VEN_0002_1,PERF_0002,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,97.5,baja,train,2.5,97.5,0.0,0.0,0.0,0.0,0.0
VEN_0002_2,PERF_0002,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,95.7,baja,train,3.95,95.7,0.24,0.11,0.0,0.0,0.0
VEN_0002_3,PERF_0002,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.71,baja,train,4.07,93.71,1.68,0.54,0.0,0.0,0.0
VEN_0003_1,PERF_0003,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,99.49,baja,train,0.51,99.49,0.0,0.0,0.0,0.0,0.0
VEN_0003_2,PERF_0003,2026-05-31,2026-04-01,2026-05-31,variable_resiliente,variable_resiliente,calculado,91.65,baja,train,6.32,0.68,91.65,1.34,0.0,0.0,0.0
VEN_0003_3,PERF_0003,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,85.85,baja,train,13.84,0.03,85.85,0.28,0.0,0.0,0.0
VEN_0004_1,PERF_0004,2026-04-30,2026-04-01,2026-04-30,acumulacion_estable,acumulacion_estable,calculado,98.61,baja,train,98.61,0.65,0.73,0.0,0.0,0.0,0.0
VEN_0004_2,PERF_0004,2026-05-31,2026-04-01,2026-05-31,uso_planificado_reserva,uso_planificado_reserva,calculado,94.9,baja,train,0.0,0.35,4.23,0.41,0.11,0.0,94.9
VEN_0004_3,PERF_0004,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,96.21,baja,train,0.0,0.09,2.94,0.76,0.0,0.0,96.21
VEN_0005_1,PERF_0005,2026-04-30,2026-04-01,2026-04-30,equilibrio_sostenible,equilibrio_sostenible,calculado,90.4,baja,train,2.41,90.4,3.01,1.01,0.22,0.0,2.95
VEN_0005_2,PERF_0005,2026-05-31,2026-04-01,2026-05-31,equilibrio_sostenible,equilibrio_sostenible,calculado,94.95,baja,train,1.86,94.95,0.98,2.07,0.13,0.0,0.0
