ventana_id,perfil_id,fecha_corte,periodo_desde,periodo_hasta,estado_esperado,estado_modelo,estado_calculo_modelo,confianza_pct,nivel_incertidumbre_modelo,particion,prob_acumulacion_estable_pct,prob_equilibrio_sostenible_pct,prob_variable_resiliente_pct,prob_deterioro_reciente_pct,prob_fragilidad_sostenida_pct,prob_situacion_critica_pct,prob_uso_planificado_reserva_pct,regularidades_observadas,eventos_inusuales_observados,tendencia_entradas,tendencia_salidas
VEN_0164_3,PERF_0164,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,64.19,media,test,0.0,0.18,64.19,27.76,3.44,0.0,4.42,2,4.0,estabilidad_observada,estabilidad_observada
VEN_0172_3,PERF_0172,2026-06-30,2026-04-01,2026-06-30,uso_planificado_reserva,uso_planificado_reserva,calculado,87.05,baja,train,0.06,0.24,12.13,0.22,0.3,0.0,87.05,2,4.0,disminucion_observada,aumento_observado
VEN_0167_3,PERF_0167,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,96.79,baja,train,0.0,0.0,0.26,2.1,96.79,0.0,0.86,3,2.0,disminucion_observada,estabilidad_observada
VEN_0196_3,PERF_0196,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,validation,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3,,disminucion_observada,estabilidad_observada
VEN_0184_3,PERF_0184,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,93.4,baja,test,1.14,93.4,1.44,3.74,0.18,0.0,0.08,2,4.0,estabilidad_observada,disminucion_observada
VEN_0160_3,PERF_0160,2026-06-30,2026-04-01,2026-06-30,fragilidad_sostenida,fragilidad_sostenida,calculado,99.85,baja,test,0.0,0.0,0.0,0.0,99.85,0.15,0.0,2,2.0,disminucion_observada,aumento_observado
VEN_0189_3,PERF_0189,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,validation,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2,2.0,estabilidad_observada,estabilidad_observada
VEN_0152_3,PERF_0152,2026-06-30,2026-04-01,2026-06-30,deterioro_reciente,deterioro_reciente,calculado,76.12,baja,train,0.0,1.22,21.11,76.12,0.0,0.0,1.55,2,6.0,aumento_observado,estabilidad_observada
VEN_0162_3,PERF_0162,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,98.85,baja,validation,98.85,0.66,0.49,0.0,0.0,0.0,0.0,1,2.0,estabilidad_observada,estabilidad_observada
VEN_0197_3,PERF_0197,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,96.71,baja,validation,96.71,0.8,2.49,0.0,0.0,0.0,0.0,1,2.0,estabilidad_observada,disminucion_observada
VEN_0171_3,PERF_0171,2026-06-30,2026-04-01,2026-06-30,variable_resiliente,variable_resiliente,calculado,83.11,baja,test,0.52,9.61,83.11,5.75,0.0,0.0,1.02,2,3.0,estabilidad_observada,disminucion_observada
VEN_0161_3,PERF_0161,2026-06-30,2026-04-01,2026-06-30,situacion_critica,situacion_critica,calculado,100.0,baja,train,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2,2.0,estabilidad_observada,disminucion_observada
VEN_0177_3,PERF_0177,2026-06-30,2026-04-01,2026-06-30,equilibrio_sostenible,equilibrio_sostenible,calculado,98.31,baja,validation,1.11,98.31,0.13,0.45,0.0,0.0,0.0,1,1.0,disminucion_observada,disminucion_observada
VEN_0183_3,PERF_0183,2026-06-30,2026-04-01,2026-06-30,acumulacion_estable,acumulacion_estable,calculado,99.36,baja,train,99.36,0.31,0.33,0.0,0.0,0.0,0.0,3,2.0,aumento_observado,disminucion_observada
